Pigo 每日美國財經新聞分析 https://pigowen.serv00.net
Original Title,Translated Title,Link,Source
"Kimmel nods to big ratings, heckles Trump as an ‘80s-movie-style bully’ in second post-suspension show",美國有線電視新聞網（CNN）：金梅爾在停播後的第二部節目中對高收視率表示讚賞，斥責川普是「80 年代電影式的惡霸」,https://www.cnn.com/2025/09/25/media/jimmy-kimmel-return-second-show-trump-intl-hnk,CNN
"The US economy grew at a 3.8% rate in the second quarter, significantly stronger than previously reported",CNN：美國第二季度經濟增長率爲3.8%，明顯強於此前報告的,https://www.cnn.com/2025/09/25/economy/us-gdp-q2-final,CNN
mapodile/E+/Getty Images,美國有線電視新聞網：mapodile/E+/Getty Images,https://www.cnn.com/2025/04/13/success/last-minute-tax-filing-tips,CNN
SDI Productions/E+/Getty Images,美國有線電視新聞網：SDI Productions/E+/Getty Images,https://www.cnn.com/2024/10/04/success/job-interview-how-to-do-well-gen-z-wellness,CNN
sanjeri/E+/Getty Images,美國有線電視新聞網：sanjeri/E+/Getty Images,https://www.cnn.com/2024/07/27/success/fed-interest-rate-cuts-debt-savings,CNN
Halfpoint Images/Moment RF/Getty Images,CNN：半點圖片/Moment RF/蓋蒂圖片社,https://www.cnn.com/2024/07/08/success/money-problems-dementia,CNN
Mike Blake/Reuters,美國有線電視新聞網：邁克·布萊克/路透社,https://www.cnn.com/2025/09/30/tech/scale-ai-making-money-meta,CNN
FEATURECHINA/Newscom/Sipa USA,美國有線電視新聞網：FEATURECHINA/Newscom/Sipa USA,https://www.cnn.com/2025/09/30/tech/us-export-curbs-expansion-beijing-anger-intl-hnk,CNN
Gabrielle Lurie/San Francisco Chronicle/AP,CNN：加布里埃爾·盧里/舊金山紀事報/美聯社,https://www.cnn.com/2025/09/27/tech/sillicon-valley-seniors-ai-course,CNN
Eyad Baba/AFP/Getty Images,美國有線電視新聞網：埃亞德·巴巴/法新社/蓋蒂圖片社,https://www.cnn.com/2025/09/25/tech/microsoft-israel-surveillance,CNN
Randy Holmes/Disney,美國有線電視新聞網：蘭迪·福爾摩斯/迪士尼,https://www.cnn.com/2025/09/27/media/kimmel-abc-nexstar-sinclair-carr-trump-disney-local-market,CNN
Randy Holmes/Disney,美國有線電視新聞網：蘭迪·福爾摩斯/迪士尼,https://www.cnn.com/2025/09/26/media/sinclair-kimmel-blackout-abc-disney-nexstar,CNN
Eric Charbonneau/Invision/AP,美國有線電視新聞網：埃里克·夏博諾/Invision/美聯社,https://www.cnn.com/2025/09/26/media/larry-ellison-david-ellison-trump,CNN
Randy Holmes/Disney,美國有線電視新聞網：蘭迪·福爾摩斯/迪士尼,https://www.cnn.com/2025/09/25/media/disney-culture-wars-controversy-kimmel,CNN
Intuitive Machines and Nokia Bell Labs,CNN：直覺機器和諾基亞貝爾實驗室,https://www.cnn.com/2024/04/24/tech/nokia-moon-4g-network-nasa-spc,CNN
"The electric car revolution is on track, says IEA",CNN：國際能源署表示，電動汽車革命正在步入正軌,https://www.cnn.com/2024/04/23/cars/electric-vehicle-sales-forecast-iea,CNN
Digital humans: the relatable face of artificial intelligence?,CNN：數位人類：人工智慧的相關面孔？,https://www.cnn.com/business/digital-humans-ai-dj-dex-spc,CNN
Top soccer clubs are using an AI-powered app to scout future stars,CNN：頂級足球俱樂部正在使用人工智能驅動的應用程序來發掘未來之星,https://www.cnn.com/2024/03/01/tech/aiscout-app-soccer-scouting-spc-intl,CNN
Eva Marie Uzcategui/Bloomberg/Getty Images,美國有線電視新聞網：伊娃·瑪麗·烏茲卡特吉/彭博社/蓋蒂圖片社,https://www.cnn.com/2025/06/16/business/car-prices-tariffs-impact,CNN
Wall Street is making some seriously weird trades,CNN：華爾街正在進行一些非常奇怪的交易,https://www.cnn.com/2025/06/12/investing/us-stock-market-gold-bitcoin-silver,CNN
What are stablecoins? Everything to know about the crypto being debated in Congress,CNN：什麼是穩定幣？關於國會正在辯論的加密貨幣的所有信息,https://www.cnn.com/2025/06/05/business/stablecoins-crypto-genius-act,CNN
"How American consumers are feeling the squeeze, in 4 charts",CNN：美國消費者如何感受到壓力，4 張圖表,https://www.cnn.com/2025/06/01/economy/consumer-student-loans-debt-squeeze-dg,CNN
Elon Musk is telling his followers to cancel Netflix subscriptions. Here's what's happening,CNBC：埃隆·馬斯克 （Elon Musk） 告訴他的追隨者取消 Netflix 訂閱。這是正在發生的事情,https://www.cnbc.com/2025/10/02/elon-musk-calls-for-canceling-netflix-whats-happening.html,CNBC
Ultra-wealthy millennials and Gen Zers to displace baby boomers by 2040,CNBC：到 2040 年，超級富有的千禧一代和 Z 世代將取代嬰兒潮一代,https://www.cnbc.com/2025/10/02/ultra-wealthy-millennials-gen-z-baby-boomers.html,CNBC
Government shutdown means opportune timing for Neptune Flood IPO,CNBC：政府關門意味著海王星洪水IPO的時機恰到好處,https://www.cnbc.com/2025/10/01/neptune-flood-ipo-government-shutdown.html,CNBC
"Record EV sales lead GM, Ford to 8% increases in Q3 U.S. auto sales",CNBC：創紀錄的電動汽車銷量領先通用汽車、福特第三季度美國汽車銷量增長 8%,https://www.cnbc.com/2025/10/01/third-quarter-us-auto-sales.html,CNBC
Trump's threats against late-night TV could spell more trouble for advertisers,CNBC：川普對深夜電視的威脅可能會給廣告商帶來更多麻煩,https://www.cnbc.com/2025/10/01/trump-late-night-tv-threats-trouble-advertisers.html,CNBC
"Ford CEO Jim Farley on EVs, cutting costs and other 'surprises'",CNBC：福特首席執行官吉姆·法利談電動汽車、削減成本和其他“驚喜”,https://www.cnbc.com/2025/10/01/ford-ceo-jim-farley.html,CNBC
"Peloton revamps equipment, raises prices ahead of holidays",CNBC：Peloton 改造設備，在假期前提高價格,https://www.cnbc.com/2025/10/01/peloton-revamps-equipment-raises-prices-ahead-of-holidays-.html,CNBC
"States sue Zillow, Redfin for alleged antitrust violation in rental housing",CNBC：各州起訴 Zillow、Redfin 涉嫌在出租住房中違反反壟斷法,https://www.cnbc.com/2025/10/01/state-ags-sue-zillow-redfin-for-alleged-antitrust-violation.html,CNBC
"Nike posts surprise sales growth, but warns of sluggish holiday season",CNBC：耐克公佈了令人驚訝的銷售增長，但警告稱假期淡季,https://www.cnbc.com/2025/09/30/nike-nke-q1-2026-earnings.html,CNBC
Spirit Airlines on track for a $475 million bankruptcy lifeline,"CNBC：Spirit Airlines 有望獲得 475,000,000,000 美元的破產生命線",https://www.cnbc.com/2025/09/30/spirit-airlines-bankruptcy.html,CNBC
How a surge in legal betting fueled an ugly fight: The battle for 1-800-GAMBLER,CNBC：合法博彩的激增如何助長了一場醜陋的鬥爭：1-800-GAMBLER 之戰,https://www.cnbc.com/2025/09/30/battle-gambling-addiction-hotline-number.html,CNBC
"Trump, Pfizer announce deal to lower drug prices, exempt from pharma tariffs",CNBC：特朗普、輝瑞宣布降低藥品價格的協議，免徵藥品關稅,https://www.cnbc.com/2025/09/30/trump-pfizer-drug-price-agreement.html,CNBC
"FTC sues Zillow and Redfin, alleging antitrust violation in online rental listings",CNBC：聯邦貿易委員會起訴 Zillow 和 Redfin，指控在線租賃房源違反反壟斷法,https://www.cnbc.com/2025/09/30/ftc-sues-zillow-redfin-alleging-antitrust-violation-in-online-rentals.html,CNBC
Ford CEO expects EV sales to be cut in half after end of tax credits,CNBC：福特首席執行官預計稅收抵免結束後電動汽車銷量將減少一半,https://www.cnbc.com/2025/09/30/ford-ceo-jim-farley-ev-incentives.html,CNBC
Here's JPMorgan Chase's blueprint to become the first fully AI-powered megabank,CNBC：這是摩根大通成為第一家完全由人工智能驅動的大型銀行的藍圖,https://www.cnbc.com/2025/09/30/jpmorgan-chase-fully-ai-connected-megabank.html,CNBC
A $130 billion energy management firm is fueling Nvidia’s infrastructure growth,CNBC：一家價值 130 億美元的能源管理公司正在推動英偉達的基礎設施增長,https://www.cnbc.com/2025/09/30/how-schneider-electric-is-fueling-nvidia-infrastructure-growth.html,CNBC
Versant adds WNBA media deal to its growing sports portfolio,CNBC：Versant 將 WNBA 媒體交易添加到其不斷增長的體育產品組合中,https://www.cnbc.com/2025/09/30/versant-wnba-media-deal.html,CNBC
"Amazon Prime Video, FanDuel launch real-time betting updates during NBA games",CNBC：Amazon Prime Video、FanDuel 在 NBA 比賽期間推出即時投注更新,https://www.cnbc.com/2025/09/30/amazon-prime-fanduel-real-time-nba-betting-updates.html,CNBC
Exclusive: Hertz will let customers do entire car buying process online,CNBC：獨家：赫茲將讓客戶在線完成整個購車流程,https://www.cnbc.com/2025/09/30/hertz-used-cars-online.html,CNBC
Scorability wants to revolutionize college sports recruiting as NIL takes off,CNBC：隨著 NIL 的起飛，可評分性希望徹底改變大學體育招募,https://www.cnbc.com/2025/09/30/scorability-wants-to-revolutionize-college-sports-recruiting-as-nil-takes-off.html,CNBC
Why movie production has moved out of the U.S.  — and what a tariff could mean,CNBC：為什麼電影製作已經轉移到美國 ——以及關稅可能意味著什麼,https://www.cnbc.com/2025/09/29/trump-movie-tariffs-why-production-has-left-hollywood.html,CNBC
Coach is serving up coffee with handbags as it looks to build on Gen Z success,CNBC：Coach 正在用手提包提供咖啡，以期在 Z 世代的成功基礎上再接再厲,https://www.cnbc.com/2025/09/29/coach-coffee-shops-build-on-success-with-gen-z.html,CNBC
"Wealthfront files for IPO, joining wave of fintech firms going public in 2025",CNBC：Wealthfront 申請 IPO，加入 2025 年上市的金融科技公司浪潮,https://www.cnbc.com/2025/09/29/wealthfront-fintech-ipo-filing.html,CNBC
Charlie Javice sentenced to 7 years in prison for defrauding JPMorgan Chase,CNBC：查理·賈維斯因詐騙摩根大通被判處 7 年監禁,https://www.cnbc.com/2025/09/29/jpmorgan-chase-frank-charlie-javice-sentencing.html,CNBC
What's the 'natural demand' for EVs in the U.S.? We're about to find out,CNBC：美國對電動汽車的“自然需求”是什麼？我們即將找到答案,https://www.cnbc.com/2025/09/29/electric-vehicles-ev-demand-federal-incentives-tax-credit.html,CNBC
Comcast names Mike Cavanagh as co-CEO alongside Brian Roberts,CNBC：康卡斯特任命邁克·卡瓦納 （Mike Cavanagh） 與布萊恩·羅伯茨 （Brian Roberts） 一起擔任聯合首席執行官,https://www.cnbc.com/2025/09/29/comcast-roberts-cavanagh-co-ceos.html,CNBC
Medicare Advantage enrollment expected to fall as insurers cut back on plans,CNBC：由於保險公司削減計劃，Medicare Advantage 的註冊人數預計將下降,https://www.cnbc.com/2025/09/29/cms-sees-medicare-advantage-enrollment-falling-in-2026-.html,CNBC
'Gabby's Dollhouse' film is more than a movie for Universal and DreamWorks,CNBC：《加比的玩具屋》電影不僅僅是環球影業和夢工廠的電影,https://www.cnbc.com/2025/09/28/gabbys-dollhouse-movie-kid-content-frenzy.html,CNBC
Avoiding airplane collisions at airports could come down to alerts,CNBC：避免機場發生飛機相撞可能歸結為警報,https://www.cnbc.com/2025/09/27/airplane-collisions-airports-honeywell.html,CNBC
"From PepsiCo to Taco Bell, dirty soda is taking over",CNBC：從百事可樂到塔可鐘，髒蘇打水正在佔據主導地位,https://www.cnbc.com/2025/09/27/dirty-soda-swig-taco-bell-pepsico.html,CNBC
"Spirit Airlines is halting 40 routes, hires ex-Amazon network planning exec",CNBC：Spirit Airlines 將停止 40 條航線，聘請前亞馬遜網絡規劃主管,https://www.cnbc.com/2025/09/26/spirit-airlines-routes-network-planning.html,CNBC
"Sinclair, Nexstar will bring 'Jimmy Kimmel Live' back to ABC stations on Friday",CNBC：Sinclair、Nexstar 將於週五將“Jimmy Kimmel Live”帶回 ABC 電台,https://www.cnbc.com/2025/09/26/sinclair-abc-jimmy-kimmel.html,CNBC
"Some CDC webpages related to sexual and gender identity, health equity removed",CNBC：一些與性和性別認同、健康公平相關的疾病預防控制中心網頁被刪除,https://www.cnbc.com/2025/09/26/cdc-webpages-on-sexual-gender-identity-health-equity-removed.html,CNBC
"FAA to let Boeing sign off on 737 Maxes, 787s after years of restrictions",CNBC：美國聯邦航空局 （FAA） 將允許波音公司簽署 737 Maxes 和 787 飛機，經過多年的限制,https://www.cnbc.com/2025/09/26/faa-boeing-737-max-787.html,CNBC
"Police name Manchester attacker who killed two at synagogueJihad Al-Shamie, a 35-year-old British man of Syrian descent, is named as the synagogue attacker.1 hr agoManchester",英國廣播公司：警方點名在猶太教堂殺死兩人的曼徹斯特襲擊者35 歲的敘利亞裔英國男子吉哈德·沙米 （Jihad Al-Shamie） 被列為猶太教堂襲擊者。,https://www.bbc.com/news/articles/cpd93x0ql0do,BBC
"Hamas military leader in Gaza objects to ceasefire plan, BBC understandsPresident Trump's proposal, accepted by Israel, stipulates that Hamas disarm and have no future role in governing Gaza.15 hrs agoMiddle East",BBC：哈馬斯在加薩軍事領導人反對停火計劃，BBC了解到川普總統的提議被以色列接受，規定哈馬斯解除武裝，未來在治理加沙方面沒有角色。15小時前中東,https://www.bbc.com/news/articles/c708v2q5r09o,BBC
"Sleeping in fields and struggling for basics: Filipinos contend with quake aftermathThe powerful quake has killed 72 people, injured hundreds and turned city centres into ghost towns.2 hrs agoAsia",BBC：睡在田野裡，為基本生活而苦苦掙扎：菲律賓人應對地震的後果強烈地震已造成 72 人死亡、數百人受傷，並將市中心變成鬼城。,https://www.bbc.com/news/articles/c80g9ng3ed4o,BBC
"'I lost my way' - Diddy begs judge for leniency on eve of sentencingIn a letter to the judge, Combs apologised and said he had been reformed after 13 months in jail.1 hr agoUS & Canada",BBC：“我迷失了方向”——老爹在宣判前夕懇求法官寬大處理庫姆斯在給法官的一封信中道歉，並表示他在入獄 13 個月後已經改過自新。1 小時前美國和加拿大,https://www.bbc.com/news/articles/c5y8zgey6lgo,BBC
"Trump wields axe over 'Democrat Agencies' as shutdown blame game ragesHe said the shutdown could be an opportunity to ""clear out dead wood"", giving no hint of concessions to Democrats.3 hrs ago",BBC：川普對「民主黨機構」揮舞斧頭，關門指責遊戲肆虐他表示，關門可能是一個「清理枯木」的機會，但沒有暗示民主黨人做出讓步。,https://www.bbc.com/news/articles/ckg201rnw2zo,BBC
"I'll change the monarchy when I'm king, says Prince WilliamShitt's Creek and American Pie actor Eugene Levy asks Prince William about his future role as King.5 hrs agoCulture",BBC：威廉王子說，當我成為國王時，我會改變君主制Shitt's Creek 和《American Pie》演員尤金·利維向威廉王子詢問他未來作為國王的角色。5小時前文化,https://www.bbc.com/news/articles/c20vyjevxe3o,BBC
Does the UK go far enough to protect children from conspiracy theorist parents?The inquest following the death of Paloma Shemirani raises the question of how to prevent young people from health misinformation3 hrs agoBBC InDepth,BBC：英國在保護孩子免受陰謀論者父母侵害方面做得足夠多嗎？帕洛瑪·謝米拉尼 （Paloma Shemirani） 去世後的調查提出了如何防止年輕人受到健康錯誤信息的問題3 小時前BBC Indepth,https://www.bbc.com/news/articles/c749d9557j2o,BBC
Trump's pact to defend Qatar could shake up or shore up a fragile region,英國廣播公司：川普保衛卡達的協議可能會動搖或支撐一個脆弱的地區,https://www.bbc.com/news/articles/c203yldq44wo,BBC
Robert Mugabe's son appears in court on drug charge,BBC：羅伯特·穆加貝的兒子因毒品指控出庭,https://www.bbc.com/news/articles/cly092r70zjo,BBC
"Ozzy Osbourne 'wouldn't change a thing', he told BBC film",BBC：奧茲·奧斯本“不會改變任何事情”，他告訴 BBC 電影,https://www.bbc.com/news/articles/c749dq3lw5go,BBC
"Scaffolding collapsed as people climbed to see Ethiopia church mural, eyewitness tells BBC",BBC：目擊者告訴 BBC，當人們爬上去觀看埃塞俄比亞教堂壁畫時，腳手架倒塌了,https://www.bbc.com/news/articles/cly6en6l141o,BBC
Security staff showed 'immediate bravery' - what we know about the Manchester synagogue attackTwo Jewish people were killed in a car and stabbing attack at Heaton Park Hebrew Congregation Synagogue in Manchester on the holiest day in the Jewish religious calendar.,BBC：安全人員表現出“立即的勇敢”——我們對曼徹斯特猶太教堂襲擊事件的了解兩名猶太人在猶太宗教日曆中最神聖的日子在曼徹斯特希頓公園希伯來會眾猶太教堂的汽車和刺傷襲擊中喪生。,https://www.bbc.com/news/articles/cd63p1djgd7o,BBC
"Starmer vows to protect Jewish communitiesThe prime minister said Britain must defeat antisemitic hate, as the King, religious leaders and politicians issue statements.",英國廣播公司：斯塔默發誓要保護猶太社區首相表示，英國必須擊敗反猶太主義仇恨，因為國王、宗教領袖和政客都會發表聲明。,https://www.bbc.com/news/articles/czrpxgk6x68o,BBC
'The man was just running out with a knife' - eyewitnesses describe how the attack unfoldedA suspected terrorist attack on a synagogue in north Manchester happened at about 09:30 BST.,英國廣播公司：“這名男子只是拿著刀跑了出去”——目擊者描述了襲擊是如何展開的英國夏令時 09：30 左右，曼徹斯特北部一座猶太教堂發生了一起疑似恐怖襲擊事件。,https://www.bbc.com/news/articles/c5yvzp070vgo,BBC
"Heroes stopped attacker getting inside synagogueTwo killed and four remain in hospital after a man, shot dead by police, carried out the attack.",BBC：英雄阻止襲擊者進入猶太教堂一名被警察槍殺的男子發動襲擊後，兩人死亡，四人仍在醫院。,https://www.bbc.com/news/articles/ckg3499p18po,BBC
"Is it a cold, flu or Covid – and how to avoid the worstBBC Morning Live's Dr Oscar Duke shares his advice on how to identify whether you have cold, flu or Covid and how to look after yourself.2 hrs agoHealth",BBC：是感冒、流感還是新冠肺炎——以及如何避免最壞的情況BBC 早間直播的奧斯卡·杜克博士分享了他關於如何識別您是否患有感冒、流感或新冠病毒以及如何照顧自己的建議。2 小時前健康,https://www.bbc.com/news/articles/cly1rryv2ryo,BBC
Behind the Gen Z protests that forced Madagascar's president to sack his governmentPresident Rajoelina's move fails to quell the protest movement that is now threatening his own position.1 hr agoAfrica,BBC：迫使馬達加斯加總統解僱政府的 Z 世代抗議活動背後拉喬利納總統的舉動未能平息現在威脅他自己地位的抗議運動。,https://www.bbc.com/news/articles/cz082y8j3jzo,BBC
Relief and new baby for asylum family of child suffocated in English Channel crossingThe Alhashemi family have spent the past 15 years moving around Europe in a state of legal limbo.21 hrs agoEurope,BBC：在英吉利海峽穿越中窒息的兒童的庇護家庭的救濟和新生兒Alhashemi 一家在過去的 15 年裡一直在歐洲各地四處奔波，處於法律不確定的狀態。21 小時前歐洲,https://www.bbc.com/news/articles/c8d7l2pvdrro,BBC
Dame Jane Goodall revolutionised our understanding of our closest primate cousinsThe world-leading expert on chimpanzees and renowned conservationist has died aged 91.1 day agoScience & Environment,BBC：簡·古道爾夫人徹底改變了我們對最親近的靈長類動物表親的理解世界領先的黑猩猩專家和著名自然資源保護主義者去世，享年 91.1 天前科學與環境,https://www.bbc.com/news/articles/cgj1pz8q63go,BBC
"Should I use olive oil for frying? How to choose the right cooking oilThe choice of oils to cook with can be overwhelming. Here is what to use for frying, drizzling and general cooking.1 day agoHealth",BBC：我應該用橄欖油煎炸嗎？如何選擇合適的食用油烹飪用油的選擇可能會讓人不知所措。以下是用於煎炸、淋雨和一般烹飪的方法。1 天前健康,https://www.bbc.com/news/articles/cj3y7j2dz44o,BBC
"The people turning to AI for dating and relationship adviceMore people are turning to AI for help with their relationships, but is that a good idea?3 hrs ago",BBC：人們向人工智慧尋求約會和關係建議越來越多的人向人工智慧尋求人際關係方面的幫助，但這是個好主意嗎？3小時前,https://www.bbc.com/news/articles/c0kn4e377e2o,BBC
"How much time could Diddy spend in prison?At his sentencing Friday, the music mogul faces up to two decades behind bars, but his attorneys want more leniency.14 hrs agoUS & Canada",BBC：老爹在監獄裡能待多久？在周五的宣判中，這位音樂大亨將面臨長達二十年的監禁，但他的律師希望得到更多的寬大處理。14 小時前美國和加拿大,https://www.bbc.com/news/articles/c80g93ryklno,BBC
Israel intercepts Gaza flotilla and detains activists including Greta ThunbergSouth Africa and Turkey have criticised the incident in international waters. Israel says those on board are safe.8 hrs agoMiddle East,BBC：以色列攔截加薩船隊並拘留包括格蕾塔·桑伯格在內的活動人士南非和土耳其批評了國際水域的這一事件。以色列稱機上人員安全。8小時前中東,https://www.bbc.com/news/articles/c0lk292jww4o,BBC
Cuba's tourism minister insists sector 'alive and kicking' amid crisisVisitor numbers to the country have fallen sharply in the face of renewed US sanctions.3 hrs agoLatin America,BBC：古巴旅遊部長堅稱該行業在危機中“生機勃勃”面對美國重新實施的制裁，該國的遊客數量急劇下降。3 小時前拉丁美洲,https://www.bbc.com/news/articles/cx2re563gz1o,BBC
Official quits after dispute over Trump's Eisenhower sword gift to King CharlesThe library director reportedly rejected a request for the White House to gift an Eisenhower sword to King Charles.5 hrs agoUS & Canada,BBC：官員在特朗普向查爾斯國王贈送艾森豪威爾劍的爭議後辭職據報道，圖書館館長拒絕了白宮向查爾斯國王贈送艾森豪威爾劍的請求。5小時前美國和加拿大,https://www.bbc.com/news/articles/cx2xkygxpy1o,BBC
"Mum's anti-chemo views influenced daughter's death, coroner saysPaloma Shemirani died after refusing chemotherapy despite a diagnosis of non-Hodgkin lymphoma.11 hrs agoEngland",英國廣播公司：驗屍官稱，媽媽的反化療觀點影響了女兒的死亡帕洛瑪·謝米拉尼 （Paloma Shemirani） 儘管被診斷出患有非霍奇金淋巴瘤，但仍在拒絕化療後死亡。11 小時前英格蘭,https://www.bbc.com/news/articles/c77dmp3jjepo,BBC
Four ill with sepsis after food poisoning outbreak at high-end Stockholm restaurantThe rare and potentially life-threatening complication comes after the people dined at a luxury eatery.9 hrs agoEurope,BBC：斯德哥爾摩高端餐廳爆發食物中毒後，四人患敗血症這種罕見且可能危及生命的並發症發生在人們在一家豪華餐廳用餐後。9 小時前歐洲,https://www.bbc.com/news/articles/cjd1g5y8755o,BBC
"Stay out of national parks during US shutdown, conservationists warnReduced staffing at national parks means visitors are ""really taking your chances"", conservationists say.5 hrs agoUS & Canada",BBC：自然資源保護主義者警告說，在美國關閉期間遠離國家公園自然資源保護主義者表示，國家公園人員的減少意味著遊客“真的在冒險”。5 小時前美國和加拿大,https://www.bbc.com/news/articles/cy0v4l897z2o,BBC
